"Nome","Pontuacão","ModoDeJogo","DataDeCriacao"
"Jonas ","800.0","Hard     ","28/11/2022 08:51"
"José  ","400.0","Hard     ","30/11/2022 12:53"
"Irineu","600.0","Hardcore   ","30/11/2022 12:56"
"Matehus","300.0","Hard     ","30/11/2022 13:06"
"Matheus","700.0","Hardcore   ","30/11/2022 13:07"
"Luan  ","100.0","Hardcore   ","30/11/2022 13:09"
"Rodrigo","100.0","Hardcore   ","30/11/2022 13:09"
"José  ","700.0","Easy      ","30/11/2022 13:25"
"Vieirazado","700.0","Hardcore   ","30/11/2022 13:29"
"Kailane","1400.0","Easy     ","30/11/2022 13:32"
"Jizaa  ","500.0","Hard     ","30/11/2022 13:35"
"José  ","6600.0","Ordinary    ","30/11/2022 14:17"
"Rúbia ","900.0","Ordinary   ","30/11/2022 14:25"
"Thomas","500.0","Hardcore  ","30/11/2022 14:52"
"Zenaro","6100.0","Hard ","30/11/2022 14:56"
